"Canal15";"Canal14";"Canal2";"Canal1"
"un15";"un14";"uni2";"uni1"
"-0,147";"0,000";"32,731";"31,754"
"-0,293";"-0,098";"32,731";"32,242"
"-0,293";"-0,098";"32,731";"31,754"
"-0,147";"0,000";"32,731";"32,242"
"-0,147";"0,000";"32,731";"32,242"
"-0,147";"-0,098";"32,731";"32,242"
"-0,147";"0,000";"32,242";"31,754"
"-0,293";"0,000";"32,731";"32,242"
"-0,147";"0,000";"32,731";"31,754"
"-0,147";"-0,098";"32,731";"32,242"
"-0,147";"0,000";"32,731";"32,242"
"0,000";"0,000";"35,173";"32,731"
"-0,147";"-0,098";"33,219";"32,242"
"-0,440";"0,000";"32,242";"32,242"
"-0,147";"0,000";"32,731";"30,288"
"-0,147";"-0,098";"32,242";"31,265"
"-0,293";"0,000";"32,731";"31,754"
"-0,147";"-0,098";"32,731";"31,754"
"-0,147";"-0,098";"32,731";"32,242"
"0,000";"0,000";"32,731";"32,242"
"-0,147";"-0,098";"32,731";"32,242"
"-0,147";"-0,195";"32,731";"31,754"
"-0,147";"0,000";"32,731";"32,242"
"0,000";"0,000";"32,731";"31,754"
"-0,293";"-0,098";"32,731";"32,242"
"-0,147";"-0,098";"32,731";"31,754"
"-0,147";"-0,098";"32,731";"32,242"
"0,000";"0,000";"31,754";"31,754"
"0,000";"-0,098";"33,219";"32,242"
"-0,147";"0,000";"32,731";"32,242"
"-0,147";"0,000";"32,242";"32,242"
"-0,293";"0,000";"33,219";"31,754"
"0,000";"0,000";"32,731";"34,685"
"-0,293";"-0,098";"32,731";"32,731"
"0,000";"0,000";"32,731";"31,265"
"-0,147";"0,000";"32,731";"32,242"
"-0,147";"-0,098";"33,219";"31,754"
"-0,147";"0,000";"33,219";"32,242"
"-0,147";"0,000";"32,731";"32,242"
"-0,147";"0,000";"32,731";"32,242"
"-0,147";"0,000";"32,242";"32,242"
"-0,293";"0,000";"32,731";"32,242"
"-0,147";"-0,098";"32,731";"31,754"
"-0,147";"0,000";"32,731";"32,242"
"-0,147";"0,000";"32,731";"31,754"
"-0,147";"-0,098";"32,731";"32,242"
"-0,147";"0,000";"32,731";"31,754"
"-0,293";"0,000";"33,219";"32,242"
"-0,147";"-0,195";"32,731";"31,754"
"0,000";"0,098";"32,242";"32,242"
"-0,147";"0,000";"33,219";"31,754"
"0,000";"-0,098";"32,731";"34,196"
"-0,293";"0,000";"32,731";"32,731"
"-0,147";"0,000";"32,731";"31,754"
"-0,293";"-0,098";"32,731";"32,242"
"-0,293";"0,000";"32,731";"31,754"
"-0,147";"0,000";"32,731";"32,731"
"-0,147";"-0,098";"32,731";"31,754"
