"Forca Peda";"Velocidade";"Decel";"Curso Peda";"Press Tras";"Press Dian";"Ambient";"LD Sec";"LD Prim";"LE Sec";"";"LE Prim";"LD Pastilh";"LE Pastilh";"LD Disco";"LE Disco"
"daN";"km/h";"a%";"mm";"bar";"bar";"U_C";"C";"C";"C";"C";"C";"C";"C";"C";"C"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"0,000";"32,877";"33,219";"32,731";"30,777";"";"30,288";"30,288";"24,915";"32,731";"31,754"
"-1,954";"-0,293";"-0,098";"-10,992";"-0,195";"0,000";"32,877";"32,731";"32,242";"31,265";"";"30,288";"30,288";"24,915";"32,731";"32,242"
"-1,954";"-0,293";"-0,098";"-10,992";"-0,195";"-0,098";"32,926";"33,219";"31,754";"31,265";"";"30,777";"30,288";"24,426";"32,731";"31,754"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"-0,098";"32,926";"32,731";"32,731";"31,265";"";"30,288";"30,777";"24,915";"32,731";"32,242"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"0,000";"32,926";"32,731";"32,731";"30,777";"";"30,777";"29,800";"24,426";"32,731";"32,242"
"-1,954";"-0,147";"-0,098";"-10,992";"-0,195";"-0,098";"32,926";"33,219";"32,242";"31,265";"";"30,288";"30,288";"24,915";"32,731";"32,242"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"0,000";"32,926";"32,731";"32,731";"30,777";"";"30,777";"30,288";"24,915";"32,242";"31,754"
"-1,954";"-0,293";"0,000";"-10,992";"-0,195";"0,000";"32,926";"32,731";"32,731";"31,754";"";"30,288";"30,288";"27,846";"32,731";"32,242"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"-0,098";"32,926";"32,731";"32,242";"31,265";"";"30,777";"30,288";"25,403";"32,731";"31,754"
"-1,954";"-0,147";"-0,098";"-10,992";"-0,195";"0,000";"32,926";"33,219";"32,731";"30,777";"";"30,288";"30,288";"24,426";"32,731";"32,242"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"-0,098";"32,926";"32,731";"32,731";"31,265";"";"30,777";"30,288";"24,915";"32,731";"32,242"
"-1,954";"0,000";"0,000";"-10,992";"-0,195";"-0,098";"32,975";"32,242";"32,242";"30,777";"";"30,288";"30,288";"24,426";"35,173";"32,731"
"-1,954";"-0,147";"-0,098";"-10,992";"-0,195";"0,000";"32,975";"33,219";"32,731";"31,754";"";"30,777";"30,288";"24,915";"33,219";"32,242"
"-1,954";"-0,440";"0,000";"-10,992";"-0,195";"-0,098";"32,975";"32,731";"32,731";"30,777";"";"30,288";"30,288";"24,915";"32,242";"32,242"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"-0,098";"32,975";"32,731";"32,731";"31,265";"";"30,288";"30,777";"24,915";"32,731";"30,288"
"-1,954";"-0,147";"-0,098";"-10,992";"-0,195";"-0,098";"32,975";"32,731";"32,242";"30,288";"";"30,288";"30,288";"24,915";"32,242";"31,265"
"-1,954";"-0,293";"0,000";"-10,992";"-0,195";"-0,098";"32,975";"32,731";"32,731";"30,777";"";"30,777";"30,777";"24,915";"32,731";"31,754"
"-1,954";"-0,147";"-0,098";"-10,992";"-0,195";"0,000";"32,975";"32,731";"33,219";"30,777";"";"28,823";"30,288";"24,915";"32,731";"31,754"
"-1,954";"-0,147";"-0,098";"-10,992";"-0,195";"0,000";"32,975";"33,219";"32,242";"31,265";"";"30,288";"30,777";"24,915";"32,731";"32,242"
"-1,954";"0,000";"0,000";"-10,992";"-0,195";"0,000";"32,975";"33,219";"33,219";"31,265";"";"31,265";"30,288";"24,915";"32,731";"32,242"
"-1,954";"-0,147";"-0,098";"-10,992";"-0,195";"0,000";"32,975";"33,219";"32,242";"30,777";"";"29,800";"32,242";"24,915";"32,731";"32,242"
"-1,954";"-0,147";"-0,195";"-10,992";"-0,195";"0,000";"32,975";"33,219";"32,731";"31,265";"";"30,777";"30,288";"24,915";"32,731";"31,754"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"0,000";"32,975";"33,219";"32,242";"30,288";"";"30,288";"29,311";"24,915";"32,731";"32,242"
"-1,954";"0,000";"0,000";"-10,992";"-0,195";"0,000";"32,975";"33,219";"32,731";"30,288";"";"30,777";"30,777";"24,426";"32,731";"31,754"
"-1,954";"-0,293";"-0,098";"-10,992";"-0,195";"0,000";"32,975";"32,731";"32,242";"31,265";"";"30,288";"29,800";"27,357";"32,731";"32,242"
"-1,954";"-0,147";"-0,098";"-10,992";"-0,195";"-0,098";"33,024";"33,708";"32,242";"30,777";"";"30,288";"30,288";"25,403";"32,731";"31,754"
"-1,954";"-0,147";"-0,098";"-10,992";"-0,195";"-0,098";"33,024";"34,196";"32,731";"30,777";"";"30,288";"29,800";"24,426";"32,731";"32,242"
"-1,954";"0,000";"0,000";"-10,992";"-0,195";"-0,098";"33,024";"32,731";"32,242";"30,777";"";"30,777";"30,777";"24,915";"31,754";"31,754"
"-1,954";"0,000";"-0,098";"-10,992";"-0,195";"-0,098";"33,024";"33,219";"32,731";"30,777";"";"30,288";"30,288";"24,426";"33,219";"32,242"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"-0,098";"33,024";"32,731";"32,731";"30,288";"";"30,777";"30,777";"24,915";"32,731";"32,242"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"-0,098";"33,024";"33,219";"32,731";"30,777";"";"30,288";"30,288";"24,915";"32,242";"32,242"
"-1,954";"-0,293";"0,000";"-10,992";"-0,195";"0,000";"33,024";"33,219";"32,242";"31,265";"";"30,777";"30,288";"24,915";"33,219";"31,754"
"-1,954";"0,000";"0,000";"-10,992";"-0,195";"0,000";"33,024";"32,731";"32,242";"30,777";"";"30,288";"30,288";"24,915";"32,731";"34,685"
"-1,954";"-0,293";"-0,098";"-10,992";"-0,195";"0,000";"33,073";"32,731";"32,731";"30,777";"";"30,288";"30,777";"24,915";"32,731";"32,731"
"-1,954";"0,000";"0,000";"-10,992";"-0,195";"0,000";"33,073";"33,219";"32,242";"30,777";"";"30,288";"30,288";"24,915";"32,731";"31,265"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"-0,098";"33,073";"33,219";"32,731";"31,754";"";"29,800";"30,777";"24,915";"32,731";"32,242"
"-1,954";"-0,147";"-0,098";"-10,992";"-0,195";"0,000";"33,073";"33,219";"32,731";"30,777";"";"30,777";"30,288";"24,915";"33,219";"31,754"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"-0,098";"33,073";"33,219";"33,219";"31,265";"";"30,777";"30,288";"24,915";"33,219";"32,242"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"0,000";"33,073";"32,731";"32,731";"31,754";"";"30,288";"30,288";"24,426";"32,731";"32,242"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"0,000";"33,122";"33,708";"32,242";"30,777";"";"30,288";"30,288";"24,915";"32,731";"32,242"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"0,000";"33,122";"32,731";"32,731";"31,265";"";"30,777";"29,800";"24,915";"32,242";"32,242"
"-1,954";"-0,293";"0,000";"-10,992";"-0,195";"-0,098";"33,122";"33,219";"32,242";"30,777";"";"30,288";"30,288";"24,915";"32,731";"32,242"
"-1,954";"-0,147";"-0,098";"-10,992";"-0,195";"-0,098";"33,122";"32,731";"32,731";"31,265";"";"30,777";"30,288";"24,426";"32,731";"31,754"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"-0,098";"33,122";"32,731";"32,731";"30,777";"";"30,288";"30,288";"24,915";"32,731";"32,242"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"0,000";"33,122";"33,219";"33,219";"31,265";"";"30,777";"30,777";"25,403";"32,731";"31,754"
"-1,954";"-0,147";"-0,098";"-10,992";"-0,098";"0,000";"33,122";"32,731";"32,242";"31,754";"";"30,288";"30,288";"24,915";"32,731";"32,242"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"-0,098";"33,122";"33,219";"32,731";"30,777";"";"30,777";"30,777";"24,915";"32,731";"31,754"
"-1,954";"-0,293";"0,000";"-10,992";"-0,195";"0,000";"33,122";"32,731";"32,731";"31,754";"";"30,288";"30,288";"24,915";"33,219";"32,242"
"-1,954";"-0,147";"-0,195";"-10,992";"-0,195";"0,000";"33,122";"32,731";"32,242";"30,777";"";"30,777";"30,777";"24,915";"32,731";"31,754"
"-1,954";"0,000";"0,098";"-10,992";"-0,195";"-0,098";"33,170";"33,219";"32,731";"31,265";"";"30,288";"30,288";"24,426";"32,242";"32,242"
"-1,954";"-0,147";"0,000";"-10,992";"-0,098";"-0,098";"33,170";"33,219";"32,242";"30,777";"";"30,288";"30,288";"24,915";"33,219";"31,754"
"-1,954";"0,000";"-0,098";"-10,992";"-0,195";"-0,098";"33,170";"33,219";"33,219";"31,265";"";"30,288";"30,288";"24,915";"32,731";"34,196"
"-1,954";"-0,293";"0,000";"-10,992";"-0,195";"-0,098";"33,170";"32,731";"32,242";"30,777";"";"30,777";"30,777";"24,915";"32,731";"32,731"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"-0,098";"33,219";"33,219";"32,731";"31,265";"";"30,288";"30,288";"24,915";"32,731";"31,754"
"-1,954";"-0,293";"-0,098";"-10,992";"-0,195";"-0,098";"33,170";"32,731";"32,731";"31,265";"";"30,777";"30,777";"25,403";"32,731";"32,242"
"-1,954";"-0,293";"0,000";"-10,992";"-0,195";"-0,098";"33,170";"32,242";"32,242";"30,777";"";"30,288";"30,288";"24,915";"32,731";"31,754"
"-1,954";"-0,147";"0,000";"-10,747";"-0,098";"0,000";"33,170";"33,219";"32,731";"31,265";"";"30,288";"29,311";"24,915";"32,731";"32,731"
"-1,954";"-0,147";"-0,098";"-10,992";"-0,195";"-0,098";"33,219";"32,731";"32,242";"30,777";"";"30,777";"30,288";"24,915";"32,731";"31,754"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"-0,098";"33,170";"32,731";"32,731";"31,265";"";"30,288";"30,288";"24,915";"33,219";"32,242"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"-0,098";"33,219";"33,219";"32,242";"30,777";"";"30,777";"29,311";"24,915";"32,731";"31,754"
"-1,954";"-0,147";"0,000";"-10,747";"-0,098";"0,000";"33,219";"33,219";"32,242";"30,288";"";"30,288";"29,800";"24,915";"32,731";"32,242"
"-1,954";"-0,293";"0,000";"-10,992";"-0,195";"-0,098";"33,219";"33,219";"32,731";"30,777";"";"30,288";"28,334";"24,915";"32,731";"31,754"
"-1,954";"-0,147";"-0,098";"-10,992";"-0,195";"-0,098";"33,219";"32,731";"32,242";"30,777";"";"30,288";"30,288";"24,915";"32,731";"32,242"
"-1,954";"-0,293";"0,098";"-10,992";"-0,195";"-0,098";"33,219";"32,731";"32,731";"30,777";"";"30,777";"30,288";"24,426";"32,731";"31,754"
"-1,954";"-0,147";"-0,098";"-10,992";"-0,195";"-0,098";"33,268";"32,731";"31,754";"30,288";"";"30,288";"30,288";"24,915";"32,731";"33,708"
"-1,954";"0,000";"0,000";"-10,503";"-0,098";"0,000";"33,268";"33,219";"32,731";"30,777";"";"30,777";"30,777";"24,915";"32,731";"33,219"
"-1,954";"-0,293";"0,000";"-10,992";"-0,195";"-0,098";"33,268";"32,731";"33,219";"31,754";"";"30,288";"30,288";"24,915";"32,731";"33,708"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"-0,098";"33,268";"33,219";"32,731";"30,777";"";"30,777";"30,777";"24,915";"32,731";"33,219"
"-1,954";"-0,147";"0,098";"-10,992";"-0,195";"-0,098";"33,268";"33,219";"32,731";"31,265";"";"30,777";"30,288";"24,915";"32,731";"33,219"
"-1,954";"-0,293";"0,000";"-10,992";"-0,195";"0,000";"33,268";"32,242";"32,242";"30,777";"";"30,288";"30,288";"24,426";"32,242";"33,219"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"-0,098";"33,317";"32,731";"32,731";"31,754";"";"30,288";"30,288";"24,426";"32,731";"33,219"
